Iteration	CPUTime	PhysTime	Travels
1	7	0	0.00571304342
2	8	0	0.0114260868
3	9	0	0.0171391303
4	11	0	0.0228521737
5	12	0	0.0285652171
6	14	0	0.0342782605
7	16	0	0.0399913039
8	17	0	0.0457043474
9	19	0	0.0514173908
10	20	0	0.0571304342
11	22	0	0.0628434776
12	23	0	0.068556521
13	24	0	0.0742695645
14	25	0	0.0799826079
15	27	0	0.0856956513
16	28	0	0.0914086947
17	29	0	0.0971217381
18	31	0	0.102834782
19	32	0	0.108547825
20	33	0	0.114260868
21	34	0	0.119973912
22	35	0	0.125686955
23	37	0	0.131399999
24	38	0	0.137113042
25	39	0	0.142826086
26	41	0	0.148539129
27	42	0	0.154252172
28	43	0	0.159965216
29	44	0	0.165678259
30	45	0	0.171391303
31	47	0	0.177104346
32	48	0	0.182817389
33	49	0	0.188530433
34	51	0	0.194243476
35	52	0	0.19995652
36	53	0	0.205669563
37	55	0	0.211382607
38	56	0	0.21709565
39	57	0	0.222808693
40	59	0	0.228521737
41	60	0	0.23423478
42	62	0	0.239947824
43	63	0	0.245660867
44	65	0	0.25137391
45	66	0	0.257086954
46	68	0	0.262799997
47	69	0	0.268513041
48	71	0	0.274226084
49	72	0	0.279939128
50	74	0	0.285652171
51	75	0	0.291365214
52	77	0	0.297078258
53	78	0	0.302791301
54	80	0	0.308504345
55	81	0	0.314217388
56	83	0	0.319930432
57	84	0	0.325643475
58	85	0	0.331356518
59	87	0	0.337069562
60	88	0	0.342782605
61	90	0	0.348495649
62	91	0	0.354208692
63	93	0	0.359921735
64	94	0	0.365634779
65	96	0	0.371347822
66	97	0	0.377060866
67	98	0	0.382773909
68	100	0	0.388486953
69	101	0	0.394199996
70	103	0	0.399913039
71	104	0	0.405626083
72	105	0	0.411339126
73	107	0	0.41705217
74	108	0	0.422765213
75	110	0	0.428478257
76	111	0	0.4341913
77	113	0	0.439904343
78	114	0	0.445617387
79	115	0	0.45133043
80	117	0	0.457043474
81	118	0	0.462756517
82	120	0	0.46846956
83	121	0	0.474182604
84	122	0	0.479895647
85	124	0	0.485608691
86	125	0	0.491321734
87	127	0	0.497034778
88	128	0	0.502747821
89	130	0	0.508460864
90	131	0	0.514173908
91	132	0	0.519886951
92	134	0	0.525599995
93	135	0	0.531313038
94	137	0	0.537026082
95	138	0	0.542739125
96	139	0	0.548452168
97	141	0	0.554165212
98	142	0	0.559878255
99	144	0	0.565591299
100	145	0	0.571304342
101	150	0	0.577017385
102	152	0	0.582730429
103	153	0	0.588443472
104	154	0	0.594156516
105	156	0	0.599869559
106	157	0	0.605582603
107	158	0	0.611295646
108	160	0	0.617008689
109	161	0	0.622721733
110	162	0	0.628434776
111	164	0	0.63414782
112	165	0	0.639860863
113	166	0	0.645573906
114	168	0	0.65128695
115	169	0	0.656999993
116	170	0	0.662713037
117	172	0	0.66842608
118	173	0	0.674139124
119	174	0	0.679852167
120	176	0	0.68556521
121	177	0	0.691278254
122	178	0	0.696991297
123	180	0	0.702704341
124	181	0	0.708417384
125	183	0	0.714130428
126	184	0	0.719843471
127	186	0	0.725556514
128	187	0	0.731269558
129	189	0	0.736982601
130	190	0	0.742695645
131	192	0	0.748408688
132	193	0	0.754121731
133	194	0	0.759834775
134	196	0	0.765547818
135	197	0	0.771260862
136	199	0	0.776973905
137	200	0	0.782686949
138	201	0	0.788399992
139	203	0	0.794113035
140	204	0	0.799826079
141	205	0	0.805539122
142	207	0	0.811252166
143	208	0	0.816965209
144	210	0	0.822678253
145	211	0	0.828391296
146	212	0	0.834104339
147	214	0	0.839817383
148	215	0	0.845530426
149	216	0	0.85124347
150	218	0	0.856956513
151	219	0	0.862669556
152	220	0	0.8683826
153	222	0	0.874095643
154	223	0	0.879808687
155	224	0	0.88552173
156	226	0	0.891234774
157	227	0	0.896947817
158	228	0	0.90266086
159	230	0	0.908373904
160	231	0	0.914086947
161	233	0	0.919799991
162	234	0	0.925513034
163	235	0	0.931226078
164	237	0	0.936939121
165	238	0	0.942652164
166	239	0	0.948365208
167	241	0	0.954078251
168	242	0	0.959791295
169	243	0	0.965504338
170	245	0	0.971217381
171	246	0	0.976930425
172	247	0	0.982643468
173	249	0	0.988356512
174	250	0	0.994069555
175	251	0	0.999782599
176	253	0	1.00549564
177	254	0	1.01120869
178	255	0	1.01692173
179	257	0	1.02263477
180	258	0	1.02834782
181	260	0	1.03406086
182	261	0	1.0397739
183	262	0	1.04548695
184	264	0	1.05119999
185	265	0	1.05691303
186	266	0	1.06262608
187	268	0	1.06833912
188	269	0	1.07405216
189	270	0	1.07976521
190	272	0	1.08547825
191	273	0	1.09119129
192	274	0	1.09690434
193	276	0	1.10261738
194	277	0	1.10833042
195	278	0	1.11404347
196	280	0	1.11975651
197	281	0	1.12546955
198	282	0	1.1311826
199	284	0	1.13689564
200	285	0	1.14260868
201	289	0	1.14832173
202	291	0	1.15403477
203	292	0	1.15974781
