150,0,0
149.358,0.0855,0
147.444,0.327,0
144.291,0.6945,0
139.9515,1.155,0
134.502,1.6905,0
128.0325,2.283,0
120.657,2.9175,0
112.5,3.576,0
103.701,4.2345,0
94.4115,4.8705,0
84.789,5.457,0
75,5.967,0
65.211,6.372,0
55.5885,6.6465,0
50.892,6.726,0
46.299,6.7635,0
41.829,6.756,0
37.5,6.699,0
33.3315,6.5955,0
29.343,6.4425,0
25.5495,6.2415,0
21.9675,5.991,0
18.612,5.6925,0
15.498,5.346,0
12.6405,4.9575,0
10.0485,4.5345,0
7.734,4.08,0
5.709,3.5925,0
3.9795,3.0585,0
2.556,2.469,0
1.4415,1.821,0
0.642,1.1505,0
0.1605,0.5235,0
0,0,0
0.1605,-0.5235,0
0.642,-1.1505,0
1.4415,-1.821,0
2.556,-2.469,0
3.9795,-3.0585,0
5.709,-3.5925,0
7.734,-4.08,0
10.0485,-4.5345,0
12.6405,-4.9575,0
15.498,-5.346,0
18.612,-5.6925,0
21.9675,-5.991,0
25.5495,-6.2415,0
29.343,-6.4425,0
33.3315,-6.5955,0
37.5,-6.699,0
41.829,-6.756,0
46.299,-6.7635,0
50.892,-6.726,0
55.5885,-6.6465,0
65.211,-6.372,0
75,-5.967,0
84.789,-5.457,0
94.4115,-4.8705,0
103.701,-4.2345,0
112.5,-3.576,0
120.657,-2.9175,0
128.0325,-2.283,0
134.502,-1.6905,0
139.9515,-1.155,0
144.291,-0.6945,0
147.444,-0.327,0
149.358,-0.0855,0
150,0,0
