100	0	0
99.572	0.057	0
98.296	0.218	0
96.194	0.463	0
93.301	0.77	0
89.668	1.127	0
85.355	1.522	0
80.438	1.945	0
75	2.384	0
69.134	2.823	0
62.941	3.247	0
56.526	3.638	0
50	3.978	0
43.474	4.248	0
37.059	4.431	0
33.928	4.484	0
30.866	4.509	0
27.886	4.504	0
25	4.466	0
22.221	4.397	0
19.562	4.295	0
17.033	4.161	0
14.645	3.994	0
12.408	3.795	0
10.332	3.564	0
8.427	3.305	0
6.699	3.023	0
5.156	2.72	0
3.806	2.395	0
2.653	2.039	0
1.704	1.646	0
0.961	1.214	0
0.428	0.767	0
0.107	0.349	0
0	0	0
0.107	-0.349	0
0.428	-0.767	0
0.961	-1.214	0
1.704	-1.646	0
2.653	-2.039	0
3.806	-2.395	0
5.156	-2.72	0
6.699	-3.023	0
8.427	-3.305	0
10.332	-3.564	0
12.408	-3.795	0
14.645	-3.994	0
17.033	-4.161	0
19.562	-4.295	0
22.221	-4.397	0
25	-4.466	0
27.886	-4.504	0
30.866	-4.509	0
33.928	-4.484	0
37.059	-4.431	0
43.474	-4.248	0
50	-3.978	0
56.526	-3.638	0
62.941	-3.247	0
69.134	-2.823	0
75	-2.384	0
80.438	-1.945	0
85.355	-1.522	0
89.668	-1.127	0
93.301	-0.77	0
96.194	-0.463	0
98.296	-0.218	0
99.572	-0.057	0
100	0	0
